id,Nível ,Endereço da questão,,Hashtags,ajuda 1 (Ajudando a pensar),ajuda 2 (Caminho das pedras),GABARITO
1,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q01.png,,#Aritmética #Operações,Lembre-se de que qualquer número multiplicado por zero resulta em zero.,Calcule o produto dos algarismos centrais primeiro e some ao resultado final.,A
2,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q02.png,,#Geometria #Áreas,A área sombreada pode ser calculada contando os quadradinhos inteiros e as metades.,Cada triângulo pintado ocupa exatamente metade de um quadradinho de 1 cm2.,B
3,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q03.png,,#Lógica #Sequências,Identifique o padrão de cores que se repete a cada ciclo de figuras.,Use o resto da divisão da posição desejada pelo tamanho do ciclo para identificar a figura correta.,D
4,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q04.png,,#Aritmética #Sistemas,Compare os dois pratos da balança e elimine os pesos iguais de ambos os lados.,"Se retirar dois triângulos de cada prato, restará a relação de peso entre o triângulo e as bolinhas.",B
5,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q05.png,,#Geometria #Perímetro,O perímetro foca no contorno externo; segmentos de reta internos não devem ser somados.,"Conte quantos lados de quadrados compõem a borda externa da figura, sabendo que cada lado mede 5 cm.",C
6,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q06.png,,#Lógica #Calendário,Verifique se o ano é bissexto para considerar o dia extra em fevereiro.,"Calcule o deslocamento de dias na semana, lembrando que o dia 29 de fevereiro altera a conta.",C
7,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q07.png,,#Geometria #Visualização,"A cada desdobramento, o padrão de cortes é refletido como em um espelho.","Como a folha foi dobrada três vezes, o corte resultará em oito aberturas simétricas.",A
8,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q08.png,,#Aritmética #Proporcionalidade,"Se o custo de 4 itens A equivale ao de 10 itens B, estabeleça uma relação de preço.","Utilize um valor múltiplo comum (como R$ 20,00) para simular os preços e facilitar a comparação.",C
9,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q09.png,,#Lógica #Posicionamento,Samuel ocupa uma posição fixa em uma fila com base em quem está atrás dele.,Determine os números das posições de Samuel e Elisa e subtraia-os para achar quem está entre eles.,B
10,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q10.png,,#Geometria #Simetria,Uma figura possui eixo de simetria se existir uma linha que a divida em metades espelhadas.,Teste eixos horizontais e verticais em cada letra para identificar o reflexo exato.,A
11,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q11.png,,#Aritmética #Troco,"Determine o custo total da compra e subtraia de uma nota de R$ 50,00.",Realize a conta com precisão decimal para identificar o número de moedas no troco.,B
12,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q12.png,,#Lógica #Dedução,"Tico, Paco e Dino apresentam depoimentos; um deles pode estar mentindo.","Analise as contradições: se o depoimento de A invalida o de B, um deles necessariamente mente.",C
13,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q13.png,,#Geometria #Áreas,A área do quadrado maior é 144 cm2. Ligar os pontos médios reduz a área pela metade.,Aplique a redução sucessiva de área para cada novo quadrado formado internamente.,C
14,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q14.png,,#Aritmética #Porcentagem,Encontre o valor do desconto subtraindo o preço final do preço original.,Calcule que percentagem esse valor representa do preço total sem o desconto.,A
15,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q15.png,,#Lógica #Jogos,Planeje os movimentos para liberar o caminho da peça preta.,"Mova as peças cinzentas de forma a liberar a ""casa vazia"" no caminho da peça principal.",C
16,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q16.png,,#Geometria #Volume,O volume (e peso) é afetado pelo produto das variações em suas três dimensões.,"Se a base triplica e a altura aumenta 50%, o volume final será 3×1,5 vezes o original.",B
17,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q17.png,,#Lógica #Tempo,As cores dos números alternam cada vez que um ponteiro aponta para a marca da hora.,Analise a paridade das passagens dos ponteiros pelas horas de 0h até 3h30.,C
18,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q18.png,,#Aritmética #Sistemas,A soma dos subtabuleiros 2×2 deve ser sempre a mesma.,Estabeleça relações entre as casas comuns aos subtabuleiros vizinhos para achar os valores ocultos.,C
19,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q19.png,,#Lógica #VerdadeOuMentira,A criança com 8 anos foi a única que mentiu; as outras falaram a verdade.,"Teste as afirmações para cada idade: se uma criança diz ""Não é 7"", e tem 8 anos, ela está mentindo?",A
20,1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q20.png,,#Fração #População,Trabalhe com um número total fictício para facilitar o cálculo das frações sucessivas.,"Determine quem tem bicicleta e, desse grupo, subtraia os que possuem mais de uma.",D
1,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q01n2.png,,#Geometria #Áreas,Um octógono regular pode ser dividido em 8 triângulos iguais com vértice no centro $O$.,A área amarela é composta por um desses triângulos ($OBC$) mais a metade de outro ($OCM$).,A
2,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q02n2.png,,#Lógica #Grafos,Comece preenchendo os círculos que têm mais conexões.,O segredo é colocar números distantes (como 1 e 8) nos círculos centrais para evitar vizinhos consecutivos.,A
3,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q03n2.png,,#Geometria #Perímetro,"Ao dobrar o papel, um dos lados é reduzido à metade, mas o perímetro muda de forma específica.","Use $2(x+y) = 50$ para a folha aberta. Para a dobrada, use $2(x/2 + y) = 35$ e descubra os valores.",B
4,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q04n2.png,,#Razão #Porcentagem,O tempo atual é 60s (1 min) e o novo tempo é 40s.,"Para o mesmo trajeto, a velocidade é inversamente proporcional ao tempo. De 60s para 40s, a velocidade deve aumentar quanto?",D
5,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q05n2.png,,#Simetria #Dobradura,"Ao dobrar o papel duas vezes, cada adesivo da imagem final representa 4 adesivos no papel aberto.",O total de adesivos é 36. Observe que alguns podem se sobrepor perfeitamente se forem do mesmo tamanho.,D
6,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q06n2.png,,#GeometriaEspacial #Cubo,Trace o caminho da formiga saindo de $A$ e passando por 3 arestas sem repetir o caminho.,Desenhe o cubo e marque os destinos possíveis: a formiga pode chegar aos vértices opostos às faces de saída.,C
7,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q07n2.png,,#Combinatória #SistemasDeNumeração,"Pense nesses números como se estivessem na ""base 3"", usando apenas 0, 2 e 5.","Liste as potências: números de 1 algarismo (3), de 2 (3x2), de 3 (3x2x3)... até chegar em 2025.",A
8,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q08n2.png,,#Aritmética #Álgebra,A operação de multiplicar quatro quadrados vizinhos afeta as proporções entre as linhas e colunas.,Observe a relação entre os números: $15/2025$ deve manter a mesma proporção que os outros cantos.,E
9,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q09n2.png,,#Álgebra #Sistemas,Escreva as equações: $10A + B + 10B + A = 121$ e $(10A + B) - (11B) = 10$.,"Simplifique a primeira para $11(A+B) = 121$, logo $A+B = 11$. Agora substitua na segunda.",A
10,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q10n2.png,,#Simetria #Dobradura,Cada dobra cria um eixo de simetria na folha quadrada.,"Imagine o processo inverso: ao desdobrar um triângulo isósceles 4 vezes, as marcas formam um padrão radial.",A
11,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q11n2.png,,#Geometria #Áreas,Um octógono regular pode ser dividido em 8 triângulos iguais com vértice no centro $O$.,A área amarela é composta por um desses triângulos ($OBC$) mais a metade de outro ($OCM$).,A
12,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q12n2.png,,#Lógica #Grafos,Comece preenchendo os círculos que têm mais conexões.,O segredo é colocar números distantes (como 1 e 8) nos círculos centrais para evitar vizinhos consecutivos.,D
13,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q13n2.png,,#Geometria #Perímetro,"Ao dobrar o papel, um dos lados é reduzido à metade, mas o perímetro muda de forma específica.","Use $2(x+y) = 50$ para a folha aberta. Para a dobrada, use $2(x/2 + y) = 35$ e descubra os valores.",B
14,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q14n2.png,,#Razão #Porcentagem,O tempo atual é 60s (1 min) e o novo tempo é 40s.,"Para o mesmo trajeto, a velocidade é inversamente proporcional ao tempo. De 60s para 40s, a velocidade deve aumentar quanto?",A
15,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q15n2.png,,#Simetria #Dobradura,"Ao dobrar o papel duas vezes, cada adesivo da imagem final representa 4 adesivos no papel aberto.",O total de adesivos é 36. Observe que alguns podem se sobrepor perfeitamente se forem do mesmo tamanho.,E
16,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q16n2.png,,#GeometriaEspacial #Cubo,Trace o caminho da formiga saindo de $A$ e passando por 3 arestas sem repetir o caminho.,Desenhe o cubo e marque os destinos possíveis: a formiga pode chegar aos vértices opostos às faces de saída.,D
17,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q17n2.png,,#Combinatória #SistemasDeNumeração,"Pense nesses números como se estivessem na ""base 3"", usando apenas 0, 2 e 5.","Liste as potências: números de 1 algarismo (3), de 2 (3x2), de 3 (3x2x3)... até chegar em 2025.",A
18,2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q18n2.png,,#Aritmética #Álgebra,A operação de multiplicar quatro quadrados vizinhos afeta as proporções entre as linhas e colunas.,Observe a relação entre os números: $15/2025$ deve manter a mesma proporção que os outros cantos.,B
