Questão,Endereço da questão,Nível ,Hashtags,,Dica 1 (Sutil),Dica 2 (Direcionada),GABARITO
1,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q01.png,1,#Aritmética #Operações,,Lembre-se de que qualquer número multiplicado por zero resulta em zero.,Calcule o produto dos algarismos centrais primeiro e some ao resultado final.,A
2,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q02.png,1,#Geometria #Áreas,,A área sombreada pode ser calculada contando os quadradinhos inteiros e as metades.,Cada triângulo pintado ocupa exatamente metade de um quadradinho de 1 cm2.,B
3,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q03.png,1,#Lógica #Sequências,,Identifique o padrão de cores que se repete a cada ciclo de figuras.,Use o resto da divisão da posição desejada pelo tamanho do ciclo para identificar a figura correta.,D
4,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q04.png,1,#Aritmética #Sistemas,,Compare os dois pratos da balança e elimine os pesos iguais de ambos os lados.,"Se retirar dois triângulos de cada prato, restará a relação de peso entre o triângulo e as bolinhas.",B
5,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q05.png,1,#Geometria #Perímetro,,O perímetro foca no contorno externo; segmentos de reta internos não devem ser somados.,"Conte quantos lados de quadrados compõem a borda externa da figura, sabendo que cada lado mede 5 cm.",C
6,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q06.png,1,#Lógica #Calendário,,Verifique se o ano é bissexto para considerar o dia extra em fevereiro.,"Calcule o deslocamento de dias na semana, lembrando que o dia 29 de fevereiro altera a conta.",C
7,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q07.png,1,#Geometria #Visualização,,"A cada desdobramento, o padrão de cortes é refletido como em um espelho.","Como a folha foi dobrada três vezes, o corte resultará em oito aberturas simétricas.",A
8,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q08.png,1,#Aritmética #Proporcionalidade,,"Se o custo de 4 itens A equivale ao de 10 itens B, estabeleça uma relação de preço.","Utilize um valor múltiplo comum (como R$ 20,00) para simular os preços e facilitar a comparação.",C
9,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q09.png,1,#Lógica #Posicionamento,,Samuel ocupa uma posição fixa em uma fila com base em quem está atrás dele.,Determine os números das posições de Samuel e Elisa e subtraia-os para achar quem está entre eles.,B
10,https://raw.githubusercontent.com/leitaosbc/produtopedagogico/refs/heads/main/2025Q10.png,1,#Geometria #Simetria,,Uma figura possui eixo de simetria se existir uma linha que a divida em metades espelhadas.,Teste eixos horizontais e verticais em cada letra para identificar o reflexo exato.,A
